Truth,Decoded
Salve quanto costa quell articolo,e gatieaetrcststeo
E in offerta costa dieci euro,si grazie
Tutto bene grazie,stai
Prendiamo un caffe al bar,prendiamo un caffe al bar
"Certo volentieri, io lo prendero macchiato",sraiar
A che ora arriva il pullman,si grazie rive a
Dovrebbe arrivare tra qualche minuto,doretdiogri euro
Quanto costa il biglietto,pratiti
Purtroppo non lo so pero potresti chiedere all autista,piratr come autista
Va bene grazie lo stesso,si grairiti
Prego,pero
Perfetto vorrei comprarne due.,si razireriaris lo
Certo ecco a lei vuole un sacchetto,e raidiro actosaeico
Si grazie e arrivederci,si stai
Le auguro una buona giornata,perfetoadcrae tra
Buongiorno io sono Mario,pruario
Buonasera io sono Mario,bar costa io
Piacere Luigi come stai,pereicoe stai
Tutto bene tu,stai
